Course_Name,Course_Number,Dept_Code,Description,Notes,NumberOfCredits,SemesterOffered,prereq,CrossListed
"  Research Writing ",1020,RHET," RHET 1020 introduces students to the process of research and the different cultures of inquiry in the disciplines. Students explore various types of research questions, making decisions about the most appropriate approach to collecting evidence, conducting analysis, organizing and presenting their work to particular discourse communities. Through this critical approach, students develop a well-informed and insightful research paper which demonstrates understanding of the processes and conventions of writing in academic contexts.

",NULL,3,NULL,NULL,NULL
"  Scientific Thinking ",1020,SCI," The course emphasizes the unifying aspects of the scientific approach to the study of nature and human behavior. About one-third of the course is devoted to scientific inquiry and investigation. The course focuses on fact identification and concept formation and testing. In the remaining parts, the students are exposed to applications of the approach in various disciplines. The course sets some basic concepts and theories of science into broad historical, philosophical, and cultural context and traces the development of these theories to their present status. This serves the double purpose of acquainting students with the appropriate setting in which a given idea gained relevance and exposing them to the evolution toward the current methods of investigation. Moral and ethical issues in science are examined.",NULL,3," Offered in the fall and spring.",NULL,NULL
"  Electricity and Magnetism ",1021,PHYS," An introduction to electricity and magnetism covering the electric field, Gauss’s law, electric potential, capacitance, dc circuits, magnetic fields, Faraday’s and Ampere’s laws, time-varying fields, Maxwell’s equations in integral form and alternating currents.",NULL,3," Offered in fall, spring and summer.","PHYS 1011",NULL
"  Essentials of Environmental Biology ",1040,BIOL," This course is designed for non-science majors who are interested in in learning more about environmental issues through the lens of biological principles. The course covers biological concepts and fundamentals of environmental biology, and introduced students to a range of environmental issues (pollution, degradation of natural resources, overpopulation, etc.) that are currently affecting Egypt and the rest of the planet. The course will highlight man’s impact on how our planet functions and examine societal and scientific solutions to these problems. The course is taught through lectures, class projects, reading discussions, and may include mandatory field trips and active participation in a sustainable community development project.",NULL,3," Offered in fall.",NULL,NULL
"  Selected Topics for Core Curriculum ",1099,ARTV," Course addressing broad intellectual concerns and accessible to all first-year students as part of the Primary Level Core.",NULL,3," Offered occasionally.",NULL,NULL
"  Selected Topics for Core Curriculum ",1099,ECON," This course introduces the concept of economic rationality while exploring applications of this logic to historical and contemporary problems facing individuals, firms, and societies. The course will explore the fundamentally economic nature of the human condition specifically addressing issues such as scarcity, public goods, poverty and inequality, environmental conservation, underground markets, and health care."," This course does not count as part of Economics major or minor requirements.",3," Offered in fall and spring.","RHET 1000",NULL
"  Selected Topics for Core Curriculum ",1099,FILM," Course addressing broad intellectual concern and accessible to all first-year students as part of the Primary Level Core.",NULL,3," Offered occasionally.",NULL,NULL
"  Selected Topics for Core Curriculum ",1099,MUSC," Course addressing broad intellectual concerns and accessible to all first-year students as part of the Primary Level Core.",NULL,3," Offered occasionally.",NULL,NULL
"  Selected Topics ",1099,RHET," Course addressing broad intellectual concerns and accessible to all first year students irrespective of major.",NULL,3," Offered occasionally.",NULL,NULL
"  Selected Topics for Core Curriculum ",1099,THTR," Course addressing broad intellectual concerns and accessible to all first-year students as part of the Primary Level Core.",NULL,3," Offered occasionally.",NULL,NULL
"  Effective Argument ",1100,RHET," Develops the skills to produce effective argument with a focus on organization, content, analysis of readings, critical thinking. Provides training in the use and integration of sources, library and online research."," For students beginning fall 2013 and later, ",3," Offered in fall, spring and summer.","RHET 1000",NULL
"  Fundamentals of Computing II ",1101,CSCE,NULL,NULL,3,NULL,NULL,NULL
"  Fundamentals of Computing II Lab ",1102,CSCE," The laboratory will contribute to the capacity building and practice of knowledge units covered in ",NULL,1,NULL,NULL,NULL
"  Algebra and Trigonometry ",1111,MACT," Fundamentals of algebra (real numbers - order and absolute value - polynomials - factoring - rational expressions - radicals - rational exponents). Linear and quadratic equations and inequalities, graphs, the circle. Functions: Zeros of polynomial functions, exponential, logarithmic and trigonometric functions. Systems of linear equations. Arithmetic and geometric sequences. The Binomial Theorem."," No credit for Thannawia Amma Math/Science students, or equivalent, or students majoring in any of the departments of the School of Sciences and Engineering.",3," Offered in fall and spring",NULL,NULL
"  Basic Mathematics for Social Sciences ",1112,MACT," Fundamentals of algebra. Equations and inequalities. Matrices. Introduction to differential and integral calculus."," No credit for science majors",3," Offered occasionally.","MACT 1111",NULL
