Course_Name,Course_Number,Dept_Code,Description,Notes,NumberOfCredits,SemesterOffered,prereq,CrossListed
"  The Discipline and Critical Social Theory ",4000,POLS," This course familiarizes students with the relation between political theory and social theory; introduces them to a range of authors, texts, and ideas associated with critical social theory; and helps prepare them to write their major research project. This course is the capstone seminar for the Department of Political Science’s Honors Program and is only open to students enrolled in the Honors Program.",NULL,3," Offered in fall.",NULL,NULL
"  Independent Study ",4000,THTR," In exceptional circumstances, some senior majors may arrange, with departmental approval, to study beyond the regular course offerings.",NULL,1," Offered in fall and spring.",NULL,NULL
"  Contemporary Issues in Auditing and Forensic Accounting ",4001,ACCT," This course highlights the practical and governance aspects of the auditing function and its role in promoting financial transparency. Topics covered will include professional ethics, materiality and risk, fraud auditing, sampling techniques, auditing in IT environment, auditing some operational cycles and forensic accounting techniques.",NULL,3," Offered in fall and spring.","ACCT 3005",NULL
"  Business Planning and Strategy ",4001,BADM," A capstone course, which integrates all business functions. Emphasis is on developing business strategies, discussing different levels of strategies, and developing a business plan for organizations."," Enrollment in this course is limited. Priority is given to students seeking the Bachelor of Business Administration degree or the Bachelor of Accounting degree, students need it as collateral requirement in other major, and students who have declared business administration as a minor.",3," Offered in fall and spring.",NULL,NULL
"  Supervised Research in Psychology ",4001,PSYC," Student will assist with a research project by working under the individual guidance of a Psychology faculty member or a faculty member from another department conducting interdisciplinary research relevant to psychology. Requirements may include library research, data collection, data entry, statistical analysis, qualitative analysis, report-writing, and assistance in planning or implementing parts of a research project.",NULL,1," Offered occasionally.","PSYC 2100",NULL
"  Special Topics in Tax Accounting ",4002,ACCT," ",NULL,3," Offered in fall and spring.","ACCT 3006",NULL
"  Senior Thesis ",4002,ECON," This course provides students with the opportunity to conduct original research work, in accordance with university regulation, on a selected topic of mutual interest between the student and the faculty supervisor. Individual guidance is then provided to the student on qualitative and quantitative research methodology, with the aim of producing a high-quality, original thesis. After the submission of the thesis, the student presents a defense seminar in front of a panel of faculty members. Subsequently, the thesis is approved and finalized upon the successful incorporation of faculty comments and suggestions.",NULL,3,NULL,NULL,NULL
"  Independent Study ",4002,PSYC," In exceptional circumstances some seniors and graduating seniors with department approval may arrange for independent study on a chosen topic in Psychology that is not covered in the regular offerings for that academic year. Guided readings, research and frequent consultations held.",NULL,1," Offered in fall and spring.",NULL,NULL
"  Physical Chemistry II ",4003,CHEM," The kinetic theory of gases, chemical kinetics and dynamics, photochemistry, homogeneous and heterogeneous catalysis, surface chemistry including adsorption.",NULL,3," Offered in fall.","CHEM 3004",NULL
"  Financial Statement Analysis ",4004,ACCT," This interdisciplinary course lies at the intersection between financial accounting and finance. Various financial statement analysis techniques will be covered with a focus on ratio analysis and the extended DuPont Analysis. The course will also cover financial statements ‘reformulation’ for the purpose of effective analysis and sound decision making. In this course, students will also be exposed to the effects of accounting discretion on the quality of financial statements. Furthermore, red flags of aggressive financial reporting and methods of earnings management will also be presented. Other topics pertaining to pro forma financial statements, forecasting, and evaluation are also discussed. Generally, the course takes a comparative accounting standards approach within the contexts of International Financial Reporting Standards (IFRSs), the Egyptian Accounting standards (EASs), US Generally Accepted Accounting Principles (US GAAP).",NULL,3,NULL,NULL,NULL
"  Physical Chemistry III ",4004,CHEM," Basic concepts and theory of quantum mechanics, applications to atomic and molecular spectroscopy; introduction to statistical thermodynamics.",NULL,3," Offered in spring.","CHEM 3004",NULL
"  Contemporary Issues in Financial Reporting ",4005,ACCT," This is a capstone course that will engage students in analysis of a wide range of contemporary issues in financial accounting and reporting by expanding and integrating students’ knowledge of the Egyptian Accounting Standards and International Financial Reporting Standards (IFRS) in a rigorous study of the current and advanced financial reporting issues that relate to Assets, Liabilities, Equity, Income and Disclosures.",NULL,3," Offered in fall and spring.",NULL,NULL
"  Geology of Raw Materials ",4005,SCI," An interdisciplinary study. The geology of naturally occurring minerals, methods for determining the utility of natural resources, and the environmentally sound industrial conversion of raw materials. Particular attention given to the natural resources of Egypt, especially to their importance in economic development.",NULL,3," Offered occasionally.","SCI 2005",NULL
"  Sociology of Work ",4005,SOC," The course examines the concept of work and how it is defined and understood in contemporary society. It investigates the changing nature of work, labor issues, changing management styles, and gender and the work place.",NULL,3," Offered occasionally.",NULL,NULL
"  Organic Chemistry III ",4006,CHEM," A continuation of the chemistry of monofunctional and polyfunctional compounds, including the chemistry of carbanions, condensation reactions, nucleophiic addition and multistep syntheses.",NULL,3," Offered in spring.","CHEM 3006",NULL
"  Food Processing and Preservation ",4007,CHEM," An overview of fruit, vegetable, cereal, dairy, seafood and meat science and technology. The principles of food processes, including refrigeration, freezing, heat processing, dehydration, fermentation, high pressure, irradiation, pulsed electric field and packaging. Commercial preservation technologies used in the preservation of minimally processed and processed foods.",NULL,3," Offered in fall.","CHEM 1006",NULL
"  Inorganic Chemistry II ",4008,CHEM," Coordination chemistry, transition metals and their complexes, theories of metal-ligand bonding, complexes of pi-acceptor ligands and organometallic compounds, reaction mechanisms of d-block complexes. Selected topics in nanochemistry, solid state chemistry, bioinorganic chemistry and/ or catalysis.",NULL,3," Offered in spring.","CHEM 3009",NULL
"  Greek Classics in Translation ",4009,ECLT," Major works of Greek literature since 700 B.C., chosen on the basis of merit and influence and studied in the most artistic translations.",NULL,3,NULL,"ECLT 5106","ECLT 5106"
"  Classics of the Ancient World ",4010,ECLT," Major works in ancient Near Eastern and Latin literatures studied in the most artistic translations.",NULL,3,NULL,"ECLT 5107","ECLT 5107"
"  Educational Sociology ",4010,SOC," The nature and interrelationship of educational agencies to other social institutions. The emergent structure of Middle Eastern educational programs and their implications for social change and integration.",NULL,3," Offered occasionally.",NULL,NULL
"  History of Literary Criticism ",4011,ECLT," Study of central documents in the tradition of Western literary criticism, from Plato to the Romantics.",NULL,3,NULL,"ECLT 5108","ECLT 5108"
"  Cultural Psychology ",4011,PSYC," This course will explore the nature of different psychological systems (or “ethnopsychologies”) that exist throughout the world and the complex relation of these to western psychology.  Topics to be covered include the relationship of culture to human development, personality, psychopathology, and psychotherapy, paying particular attention to the impact of social change and cultural contact.  This course will also address some major issues in applied psychology from a cultural and international perspective.  The successful student will leave this course with an appreciation of the cultural underpinnings of western psychology, an in-depth understanding of the limitations of universalist perspectives, and a new appreciation for cultural and psychological diversity.",NULL,3," Offered occasionally.","PSYC 1000",NULL
"  Modern Literary Criticism ",4012,ECLT," Analysis of the major trends in modern literary theory, such as Russian formalism, new criticism and post-structuralism.",NULL,3,NULL,"ECLT 5109","ECLT 5109"
"  Feasibility Study ",4012,ECON," ",NULL,3," ",NULL,NULL
"  Psychology of Gender ",4012,PSYC," This course will examine what is the difference between gender and sex and how does gender influences human functioning. The course will focus on theories that explain gender differences within the field of psychology. Students will develop an understanding of the differences between the sexes in areas such as intelligence, emotion, personality, interpersonal relationships & psychopathology.",NULL,3," Offered occasionally.",NULL,NULL
"  Behavioral Economics ",4013,ECON," The course will expose students to the science of behavioral economics. It will cover a range of topics including individual decisions, markets and public choice. Topics include extensions and shortcomings of the rational choice model and deviations from the Expected Utility Theory; Prospect theory and preference dependence; time preferences; social preferences, behavioral trust and fairness.",NULL,3," Offered in spring.",NULL,NULL
"  Psychology of Trauma ",4013,PSYC," This course will introduce students to the psychology of trauma. The course will place emphasis on interpersonal trauma and betrayal on both the individual and institutional levels. Topics to be covered include childhood trauma, adult sexual assault, war, and domestic violence, and the perspectives of perpetrators of violence. An important focus of the course will involve considerations of how socio-political contexts affect trauma research and intervention.",NULL,3," Offered occasionally.",NULL,NULL
"  Public Economics and Policy Analysis ",4014,ECON," This course covers analysis of public policy with special focus on Egypt and the MENA Region. It discusses issues related to market failure, equity and efficiency, public goods, tax policy and externalities. The course gives students the chance to do applied policy research in this area.",NULL,3," Offered in fall and spring.","ECON 2021",NULL
"  Child Psychology ",4014,PSYC," Child psychology familiarizes students with contemporary theoretical and applied issues related to child development. The course discusses theories and contemporary models of child development, and may include an emphasis on children with special cognitive, emotional and medical needs. The course includes content relevant to the local context.",NULL,3," Offered occasionally",NULL,NULL
"  Psychological Anthropology ",4015,ANTH," Interdisciplinary and cross-cultural approach to the study of the reciprocal relations of culture and personality; special focus on themes of identity, socialization and the emergence of self in various cultural settings.",NULL,3," Offered occasionally.","PSYC 4015",NULL
"  Applied Econometrics ",4015,ECON," This is an application course where students use real world examples and put into practice theories they learned in statistics and econometrics courses. It concentrates on expanding students’ experience of practical applications of key econometrics methods in the different fields of economics such as microeconomics, macroeconomics, labor, development, and program impact evaluation.",NULL,3," Offered in fall and spring.",NULL,NULL
"  Exploration Methods ",4015,PENG," Fundamental seismic principles and its exploration methods, oil exploration and sub-surface imaging. the elastic wave equation, the acquisition and processing of seismic reflection data and seismic, tomography data. Introduction to seismic stratigraphy, seismic inversion and attribute analysis, role of seismic in reservoir properties and facies modeling. Data acquisition, processing, and interpretation of gravity data, Data acquisition, processing, and interpretation of magnetic data. Introduction to electromagnetics and their applications in petroleum industry.",NULL,3," Offered occasionally",NULL,NULL
"  Psychological Anthropology ",4015,PSYC," Interdisciplinary and cross-cultural approach to the study of the reciprocal relations of culture and personality; special focus on themes of identity, socialization, and the emergence of self in various cultural settings.",NULL,3," Offered occasionally.","ANTH 4015",NULL
"  Introduction to Forensic Psychology ",4016,PSYC," This course will provide an introduction to forensic psychology and the numerous ways that psychology interacts with the law. Forensic psychology addresses the application of psychological research, methods, and expertise to issues that come before the legal system. Topics to be covered may include insanity, competency, jury-selection, expert-testimony, decision making, criminal profiling, psychopathy, violence risk assessment, and offender treatment programs.",NULL,3," offered occasionally.",NULL,NULL
"  East- West Dialogue: Cross-Cultural Perceptions and Reflections ",4018,POLS," This course provides a unique opportunity for students at AUC to share their educational experience with students in the west. The medium for this shared experience will be videoconferences held over the internet with university classes in the United States and other Western countries. For each videoconference, we will be reading the same texts as the students at our partner institutions. The videoconferences provide not only the medium for the shared component of the course; they also suggest its substantive theme. For, while we encounter the apparent cultural other over the internet, we will be exploring with them the question of our relationship to the other - especially how our perceptions of the other have developed over time and how they continue to influence the political interaction between “East” and “West” today.",NULL,3," Offered occasionally.",NULL,NULL
"  East-West Dialogue: Cross-Cultural Perceptions and Reflections ",4018,SEMR," This course provides a unique opportunity for students at AUC to share their educational experience with students in the west. The medium for this shared experience will be videoconferences held over the Internet with university classes in the United States and other Western countries. For each videoconference, we will be reading the same texts as the students at our partner institutions. The videoconferences provide not only the medium for the shared component of this course; they also suggest its substantive theme. For, while we encounter the apparent cultural other over the Internet, we will be exploring with them the question of our relationship to the other- especially how our perceptions of the other have developed over time and how they continue to influence the political interaction between “East” and “West” today."," ",3,NULL,NULL,"POLS 4018"
"  Anthropology of Violence ",4020,ANTH," This course examines the analytical object “violence” in its differentiated dimensions. What we think of as violence encompasses multiple phenomena that cannot only be understood as forces of destruction: violence must be grasped as also generative of life-worlds. The course inquires into the nature of violence, explores its epistemological and existential, sensual and structural, exceptional and ordinary dimensions, and forms.",NULL,3,NULL,NULL,NULL
"  Criminology ",4020,SOC," Theories of crime and social control. Institutional programs charged with the custody and treatment of law violators. Problems of deviance as related to class structure and social change.",NULL,3," Offered occasionally.",NULL,NULL
"  Industrial/Organizational Psychology ",4022,PSYC," This course provides students with the understanding of the scientific basis and professional practice of industrial/organizational psychology. Topics include personnel selection and placement, training and development, performance appraisal, organizational development, quality of work life, and ergonomics.",NULL,3," Offered occasionally.","PSYC 3010",NULL
"  Clinical Chemistry II ",4025,CHEM," Module 1. Clinical analytes: amino acids, proteins, nucleic acids, lipids, carbohydrates, electrolytes, clinical enzymology, clinical toxicology, tumor markers, therapeutic drug monitoring, and vitamins. Module 2. Pathophysiology: hepatic, cardiac, renal, gastric, and pancreatic diseases, acid-base disorders, endocrine function, bone disease, organ transplantation, pregnancy and fetal development, and biochemical aspects of hematology.",NULL,3," Offered in fall.","CHEM 3025",NULL
"  Religion in a Global World ",4025,SOC," Comparative study of religion in culture and society.  The course will explore a variety of theories and controversies in the anthropological understanding of religion.  Emphasis is on how religion may restrict but also empower believers, inform their social identities, and intersect with political and economic practices and institutions in a globalizing world.",NULL,3," Offered in fall.","ANTH 4025",NULL
"  Women, Islam and the State ",4030,ANTH," An anthropological perspective on the politics of gender in Muslim societies, with an emphasis on the Middle East. The relationship between religion and society, especially the cultural construction of gender hierarchies within the discourses of Islam and the realities of Muslim women’s lives. The articulation of the impact of modern states on gender hierarchies.",NULL,3," Offered annually.",NULL,NULL
"  Independent Study in Egyptology ",4030,EGPT," Independent research projects in Egyptology, with consent of instructor and student’s adviser.",NULL,1," Offered every semester.",NULL,NULL
"  Seminar: Special Topics in Political Science for Undergraduates ",4030,POLS," Selected topics to be investigated under the guidance of a faculty member."," May be offered as a seminar.",3," Offered occasionally.",NULL,NULL
"  History and Systems of Psychology ",4030,PSYC," The course covers the history, methods, and content of modern psychological theory, research, and application. It also reviews schools of psychology (e.g., structuralism, functionalism, behaviourism, Gestalt psychology) and central theories of psychology in their historical and philosophical context. The course goals are to familiarize students with how the social and intellectual forces throughout history have shaped the field of psychology and how psychology today is rooted in them.",NULL,3," Offered in fall and spring.",NULL,NULL
"  International Trade ",4031,ECON," International Trade Theory: Mercantilist Theory, comparative costs, and post- Ricardian theories including economies of scale and imperfect competition. Protection Theory; Effective Protection. Terms of trade, national income and the balance of payments. Fluctuations in trade. Foreign exchange markets, exchange rates and adjustment in the balance of payments. International resource movements.",NULL,3," Offered in fall and spring.","ECON 3021",NULL
"  Individual Study and Selected Reading ",4033,POLS,NULL,NULL,1,NULL,NULL,NULL
"  Advanced Organic Chemistry ",4035,CHEM," Specialized topics in the field of organic chemistry chosen according to specific interests; e.g. polynuclear aromatic compounds, heterocyclic compounds, carbohydrates, proteins, nucleic acids, physical organic chemistry.",NULL,3," Offered occasionally.","CHEM 4006",NULL
"  Political Sociology ",4035,POLS," Social bases of various political systems such as Western-type democracy, authoritarianism, and totalitarianism. Topics include: determinants of political behavior, power, elite formation, bureaucracy, and the political role of the military and intellectuals in Third World societies.",NULL,3," Offered in fall.","SOC 4035",NULL
"  Political Sociology ",4035,SOC," Social bases of various political systems such as Western-type democracy, authoritarianism, and totalitarianism. Topics include: determinants of political behavior, power, elite formation, bureaucracy, and the political role of the military and intellectuals in Third World societies.",NULL,3," Offered in fall.","POLS 4035",NULL
"  Molecular Symmetry and Applications ",4040,CHEM," Molecular symmetry: basic principles and applications, molecular vibrations, construction of hybrid orbitals, delocalized molecular orbitals with emphasis on pi orbitals, ligand field spectra and construction of energy-level diagrams.",NULL,3," Offered occasionally.","CHEM 3009",NULL
"  Ancient Egyptian Religion and Ethics ",4040,EGPT," The course will examine in detail the beliefs and religious institutions of the Ancient Egyptians. Special attention will be devoted to official and popular religions, and to their manifestation in architecture as well as in the literature of Ancient Egypt.",NULL,3," Offered occasionally.",NULL,NULL
"  Gender and Power in Development ",4040,SOC," The course will examine the transformations in the lives of women and men through development and incorporation into global economic and political systems from a sociological perspective, particularly from the “Third World”. However, the focus is not limited to women, but rather concentrates on the structure and process of gender relations. In examining “gender politics”, we will explore the politicization of gender relations at various levels of society, from domestic settings to national contexts to the international sphere.",NULL,3," Offered annually.",NULL,NULL
"  Financial Economics ",4041,ECON," This course provides a rigorous introduction to modern financial economics. It is designed to equip students with theoretical tools and practical case studies necessary to understand the dynamics of financial markets and their interaction with other spheres of the economy including asset pricing, risk management, and financial regulation schemes.",NULL,3," Offered occasionally.","ECON 2081",NULL
"  Quantum Mechanics I ",4042,PHYS," Stern-Gerlach experiments, operators and measurement, Schrödinger time evolution, quantized energies and particle in potential wells, unbound states, angular momentum, Hydrogen atom, harmonic oscillator.",NULL,3," Offered in spring.","PHYS 2041",NULL
"  Quantum Mechanics II ",4043,PHYS," Perturbation theory, hyperfine structure and the addition of angular momenta, perturbation of Hydrogen, identical particles, time-dependent perturbation theory, periodic systems, modern applications of quantum mechanics.",NULL,3,NULL,NULL,NULL
"  Critical Approaches to Development ",4050,ANTH," Contemporary theories of development as they apply to and illuminate the problems of development in underdeveloped countries. The approach will be interdisciplinary.",NULL,3," Offered in fall and spring.","SOC 4106",NULL
"  CopyrightX: The Economics of Copyright and Creativity ",4050,ECON," The course examines ways in which the copyright system seeks to stimulate and regulate creative expression, impacting creative industries and pertinent business models. The course also critically reviews the main theories of copyright, with emphasis on the economics of knowledge production in varying contexts. Students engage with world issues and debates related to copyright and creativity, with an eye to the interests of developing countries and their position in global debates. A central question raised in the course is whether and how copyright legislation should be reformed to address new technologies, incentivize novel business models and help bridge the developmental divide. Students will gain an understanding of the basic principles of copyright and how it affects creativity and innovation in a wide variety of artistic and technical fields. While there will be reference to US law in the recorded video lectures, supplementary class discussions and reading materials will provide students with understandings of the legal copyright systems in Egypt and other countries.",NULL,3," Offered in spring.",NULL,NULL
"  Seminar on Economic Development and Policy in the Middle East ",4051,ECON," This course explores the application of key concepts relating to economic development and policy in the Middle East and North Africa. The focus is on evidence-based policy analysis in areas such as macroeconomic adjustment, trade relations, labor market performance, poverty and inequality.

",NULL,3,NULL,NULL,NULL
"  Nuclear and Particle Physics ",4051,PHYS," A modern view of the fundamental structure of matter, nuclear structure, nuclear models, nuclear decay and radioactivity, nuclear reactions; quarks, gluons, leptons; accelerators, particle interactions with matter, detectors; weak, electromagnetic and strong interactions.",NULL,3," Offered in fall.","PHYS 4042",NULL
"  Seminar in African Studies ",4055,ANTH," Through the examination of a contemporary topic in African Studies, this interdisciplinary seminar examines epistemological and methodological issues in African Studies such as transformation, resistance, power, technology, and women and development. Original sources will be used to examine the theoretical assumptions, data and methods underlying the literature. Prior course work in African Studies is recommended.",NULL,3," Offered occasionally.","SOC 4055",NULL
"  Seminar in African Studies ",4055,SOC," Through the examination of a contemporary topic in African Studies, this interdisciplinary seminar examines epistemological and methodological issues in African Studies such as transformation, resistance, power, technology, and women and development. Original sources will be used to examine the theoretical assumptions, data, and methods underlying the literature. Prior course work in African Studies is recommended.",NULL,3," Offered occasionally.","ANTH 4055",NULL
"  Independent Study ",4060,RHET," In exceptional circumstances, students, in consultation with a faculty member and with approval of the Chair/Associate Chair (and approval of the CORE Director, if taken for CORE credit), may design or take a course that is not regularly offered. In such a case, the student, in consultation with the instructor, will propose a course of study, and work will culminate in one of the following: a scholarly research paper on some aspect of the history, theory, or application of rhetoric and composition; a practical application of writing, such as a grant or report submitted to an outside agency; a body of work that is normally expected in a listed course not being offered during the current term.",NULL,1,NULL,NULL,NULL
"  Mathematical Economics ",4061,ECON," The course starts with a discussion of quasiconcave programming (Kuhn-Tucker theorem), then moves on to linear (first- and second-order) and nonlinear difference equations. This is followed by linear and nonlinear differential equations, including stability analysis, steady-state equilibrium, convergence and phase diagrams. In addition, systems of differential equations (the saddle path) are also studied. The final component of the course is dynamic optimization covering finite- and infinite-horizon problems as well as discounting. Economic applications are emphasized throughout the course.",NULL,3," Offered in fall.","ECON 3061",NULL
"  Clinical Psychology ",4062,PSYC," This course will cover the history and current state of the field of clinical psychology. Topics that will be covered include clinical assessment, clinical interventions, psychotrauma, and clinical theories. This course is intended for advanced undergraduate students who are considering graduate work or practical work in fields related to clinical psychology.",NULL,3," ","PSYC 3270",NULL
"  Advanced Community Psychology ",4063,PSYC," Provides an advanced introduction to theory and practice in community psychology, incorporating experiential community based learning as an integral part of the course requirements. Builds upon theories and concepts covered in Psychology 3003 (Community Psychology) by introducing special topics of particular importance to Egypt. Topics and skills covered may relate to oppression and liberation, social action, stress and coping, needs assessment, program development, program evaluation, public policy or special populations such as refugees and persons with disabilities or mental illness.",NULL,3," ","PSYC 1000",NULL
"  Culture, Economy and the Everyday ",4065,ANTH," Examination of how anthropology has approached the study of economic practices, ideas and institutions in different cultural contexts.  By following the main theoretical paradigms in economic anthropology, the course will address the cultural assumptions and power dynamics in defining what an economy is and how people go about producing, consuming and exchanging goods, commodities, gifts, services, as well as social relationships.  Ethnographic case studies will explicate the power relations underlying the pursuit of economic lives, the centrality of gender, class, race, kinship and ethnic relations in shaping production, consumption and exchange, and the ramifications of global markets on peoples’ livelihoods and identities. ",NULL,3," Offered in alternate years.",NULL,NULL
"  Special Topics in Accounting ",4070,ACCT," Considers selected topics of current relevance in Accounting."," Enrollment in is limited, and priority is given to students seeking the Bachelor of Business Administration degree or the Bachelor of Accounting degree, students enrolling in specified as collateral requirements in other majors, and students who have declared business administration as a minor.",3," Offered occasionally.",NULL,NULL
"  Political Anthropology ",4070,ANTH," This course examines the contribution of anthropology to the comparative study of political organization and the exercise  of power. It reviews classical anthropological approaches to politics in non-state and non-Western state societies. The course also examines political organization in postcolonial and global contexts, including such topics as nationalism, migration, transnational mobilization, ethnic identity and flexible citizenship, and the use of media technologies in developing political subjectivities. There is an emphasis on theoretical perspectives.",NULL,3," Offered in alternate years.",NULL,NULL
"  Independent Study in Accounting ",4075,ACCT," Guided readings, research, and discussions on specific selected topic in Accounting."," Enrollment in is limited, and priority is given to students seeking the Bachelor of Business Administration degree or the Bachelor of Accounting degree, students enrolling in specified as collateral requirements in other majors, and students who have declared business administration as a minor.",1," Offered occasionally.",NULL,NULL
"  Migrants and Transnationals ",4075,ANTH," The course examines the experiences and relationships of people who move across states and national boundaries and whose identifying labels range from migrants, transnationals, guest-workers, exiles, refugees, and diaspora, among others. One underlying thread is that of dislocation and movement, while maintaining connections - real, symbolic and imagined - between disparate places and peoples.",NULL,3,NULL,NULL,NULL
"  Econometrics ",4081,ECON," The first part of the course covers extensions of the classical linear model including departures from the basic assumptions of the general model: multicollinearity, autocorrelation, heteroskedasticity, endogenous regressors and GMM estimation. The second part discusses models with limited dependent variables (e.g. logit and probit models) and their applications. The third part explores panel data, covering issues related to estimation and inference in panel datasets as well as applications.",NULL,3," Offered in fall.","ECON 3081",NULL
"  History of Economic Thought ",4091,ECON," This course investigates the historical evolution of economic theory by examining the development of Mercantilism, Physiocracy, Classical, Marxian, Neoclassical theory, Austrian-Keynesian and post-Keynesian economics.",NULL,3," Offered in fall and spring.","ECON 2021",NULL
"  Economics of Egypt ",4094,ECON," This course is an application of economic tools to explore the performance, analyze major problems and propose reform agendas for the contemporary Egyptian economy. Among the topics discussed are the path of economic development, macroeconomic performance, sectorial behavior, and institutional restructuring since the Nasser era and up to the present time. The course gives the students a chance to conduct applied research and to design policy solutions related to challenges facing the Egyptian economy.",NULL,3," Offered in fall and spring.","ECON 2021",NULL
"  Selected Topics in Neuroscience ",4098,PSYC," An interdisciplinary course discussing current topics in neuroscience, through the examination of content related to neurobiology, neuroanatomy, neurophysiology. Examples of topics may be neuroscience research techniques, hormones and behavior, psychopharmacology, cognitive neuroscience, affective neuroscience, neurological disorders.",NULL,3,NULL,NULL,NULL
"  Selected Topics in Anthropology ",4099,ANTH," .Topics to be chosen according to specific interest, such as: agrarian transformation, desert development, sex roles, cognitive anthropology, anthropology and education; nationalism, colonialism and postcolonialism; tourism in social science; and anthropology of the city.",NULL,3," Offered occasionally",NULL,NULL
"  Seminar: Special Topics in Economics ",4099,ECON," Guided reading, research, and discussion of specific topics chosen by the instructor in theoretical policy or applied economics.",NULL,3," Offered occasionally.",NULL,NULL
"  Senior Year Thesis ",4099,POLS," This course builds on work completed in ",NULL,3,NULL,"POLS 4000",NULL
"  Selected Topics in Psychology ",4099,PSYC," Topics of interest that reflect current trends or specialized content areas in psychology. Topics may relate to faculty research or practice interests, as well as intra-disciplinary or interdisciplinary areas of inquiry.",NULL,3," ",NULL,NULL
"  Selected Topics in Sociology ",4099,SOC," Topics to be chosen according to specific interests, such as sociology of medicine, sex roles, symbolic interaction, applied sociology.",NULL,3," Offered occasionally.",NULL,NULL
"  Modern Standard Arabic ",4101,AIAS," This course integrates the four language skills to help students develop their ability to produce and comprehend both oral and written discourse at the advanced/advanced high level. The material addresses linguistic needs at this level and provides students with opportunities to further develop their understanding of the various aspects of Egyptian culture.",NULL,4," Offered in summer.",NULL,NULL
"  Compiler Design ",4101,CSCE," Principles and practices in the design of compilers. Lexical analysis. Syntax analysis, top-down and bottom-up parsing. Syntax-directed translation and syntax trees. Declarations, types, and symbol management. Run-time environments, storage organization, parameter passing, dynamic storage allocation. Intermediate languages and intermediate code generation. Code generation and optimization."," Project: students construct a simple compiler that generates unoptimized code.",3," Offered in spring.","CSCE 3104",NULL
"  Solid-State Devices ",4101,ECNG," Theory of semiconductor surfaces, field effect transistors, application in static logic design, semiconductor sensors and transducers.",NULL,3," Offered occasionally.",NULL,NULL
"  Entrepreneurship and Innovation ",4102,ENTR," This is an interdisciplinary course combining skills from all areas of business. It focuses on the creation of new business ventures with an emphasis on personal rather than corporate goals. Special focus is placed on problems encountered by the entrepreneurs in the Middle East and development of solutions to those problems. The course also prepares students for intrapreneur or entrepreneur business careers in startups and small and large corporations. It offers and understanding of the stages of business formation and what activities are appropriate at each stage of business development to meet financial goals including preparations of feasibility studies for business start-ups.",NULL,3,NULL,NULL,NULL
"  Quantitative Approach to Management ",4102,OPMG," Topics like the philosophy and techniques of operations research, the theory of probability, inventory models, utility and decision game theory, linear programming, queuing models, and simulation methods are emphasized."," Enrollment in is limited, and priority is given to students seeking the Bachelor of Business Administration degree or the Bachelor of Accounting degree, students enrolling in specified as collateral requirements in other majors, and students who have declared business administration as a minor.",3," Offered occasionally.","OPMG 4202",NULL
"  Testing of Digital Circuits ",4103,ECNG," Basic concepts behind testing digital circuits. Causes of permanent and temporary failures. Test pattern generation techniques including exhaustive, Pseudo-exhaustive, Path sensitization, Critical path, Random and Pseudo-random Testing. Design for testability methods for testing Integrated Circuits. Techniques for testing Printed circuit boards.",NULL,3," Offered occasionally.","ECNG 2101",NULL
"  Dramatic Theory and Criticism ",4103,THTR," An exploration of the various and conflicting perceptions of the nature and function of drama through the study of major works of dramatic theory and criticism from the Greeks to the present.",NULL,3," Offered in alternate springs.",NULL,NULL
"  High Level Digital ASIC Design Using CAD ",4104,ECNG," Design of digital application-specific integrated circuits (ASICS) using synthesis CAD tools. Topics include the following: design flow, hierarchical design, hardware description languages such as VHDL, synthesis, design verification, IC test, chip-scale synchronous design, field programmable gate arrays, mask programmable gate arrays, CMOS circuits and IC process technology. For the project, students will design and implement a significant digital system using field programmable gate arrays.",NULL,3," Offered occasionally.","ECNG 3105",NULL
"  Political Science Methods ",4104,POLS," This course seeks to provide students with a critical understanding of political science methods, the ability to read statistical materials, and to use advanced qualitative and quantitative research methods. Electoral behavior and systems are extensively studied in this course and used to demonstrate how different research methods are applied to study a topic as important as elections.",NULL,3," Offered in fall.",NULL,NULL
"  Integrated Circuit Fabrication: Materials and Processes ",4105,ECNG," Microfabrication techniques for silicon very large integrated circuits (VLSI), unit processes including lithography, native film growth, diffusion, ion implantation, thin film deposition and etching. Metal interconnects. Process integration for CMOS, BiCMOS, ECL and MEMS.",NULL,3," Offered occasionally.","ECNG 3106",NULL
"  Critical Approaches to Development ",4106,SOC," Contemporary theories of development as they apply to and illuminate the problems of development in underdeveloped countries. The approach will be interdisciplinary.",NULL,3," Offered in fall and spring.","ANTH 4050",NULL
"  Senior Seminar ",4107,ANTH," Emphasis on current methodological trends in anthropology and sociology reflecting the research interests of the faculty and students, and drawing on the experience of the undergraduate career."," Content may therefore vary from year to year. The student will be required to write a methodologically sound senior paper, preferably based on field research.",3," Offered in spring.","SOC 3105",NULL
"  Senior Seminar ",4107,SOC," Emphasis on current methodological trends in anthropology and sociology reflecting the research interests of the faculty and students, and drawing on the experience of the undergraduate career. Content may therefore vary from year to year."," The student will be required to write a methodologically sound senior paper, preferably based on field research.",3," Offered in spring.","SOC 3105",NULL
"  Theatrical and Dramatic Translation ",4110,THTR," A critical exploration of the particular challenges surrounding a number of “translations”  of drama, with specific focus on the nature of dramatic language, the adaptability and contemporary value of myth, cultural and historical barriers and the means of challenging them, the shortcomings and advantages of dramaturgy, and the inevitable concrete requirements of performance.
",NULL,3,NULL,NULL,NULL
